id,event,date,odds,stake,bet_type,outcome,sport,league,result,notes,confidence_scale,total_bets,created_at
311,"Finnország-Málta,Szlovakia-Északírország",2025.11.04,3.04,5000.0,1X2,Lost,Football,World Cup qualification,"0-1,1-0",,8,1,2025-12-28T15:17:39.753558
309,"DVSC-ZTE, Fiorentina-Lecce, Sampdoria-Mantova",2025.11.02,6.97,10000.0,1X2,Lost,Football,Mixed leagues,"2,-1,0-1,0,1",,8,1,2025-12-28T15:17:39.753565
304,"Mantova-Catanzaro,Lorient-PSG",2025.10.29,4.0,1000.0,1X2,Lost,Football,Mixed leagues,1-3-1-1,,8,1,2025-12-28T15:17:39.753572
305,"Lorient-PSG, Venezia-Tirol",2025.10.29,4.58,1000.0,1X2,Lost,Football,Mixed leagues,"1-1,3-0",,8,1,2025-12-28T15:17:39.753579
306,Como-Verona,2025.10.29,3.6,1000.0,1X2,Lost,Football,Seria A,3-1,,8,1,2025-12-28T15:17:39.753585
307,"FTC-Békéscsaba, Lorient-PSG",2025.10.29,3.93,1000.0,1X2,Lost,Football,Mixed leagues,"4-0,1-1",,8,1,2025-12-28T15:17:39.753592
308,"Metz-Lens,Lorient-PSG",2025.10.29,5.94,1000.0,1X2,Lost,Football,Ligue 1,"2-0,1-1",,8,1,2025-12-28T15:17:39.753598
301,Manutd-Brighton,2025.10.25,3.84,3000.0,1X2,Lost,Football,Premier League,4-2,,8,1,2025-12-28T15:17:39.753605
302,Valencia-Villareal,2025.10.25,3.63,4000.0,1X2,Lost,Football,La Liga,0-2,,8,1,2025-12-28T15:17:39.753611
303,Lens-Marseille,2025.10.25,3.6,4000.0,1X2,Lost,Football,Ligue 1,2-1,,8,1,2025-12-28T15:17:39.753617
300,"FTC-Kalskrona, Elverum-Kriens, Andora-Szerbia",2025.10.14,2.5,10000.0,1X2,Lost,Mixed sports,Mixed leagues,"2-1,2-1",,8,1,2025-12-28T15:17:39.753624
299,Feörer-Csehorsztág,2025.10.12,1.7,10000.0,1X2,Lost,Football,World Cup qualification,"2-1,2-1",,8,1,2025-12-28T15:17:39.753631
297,"Finnország-Litvánia, Burundi-Kenya",2025.10.09,4.59,3000.0,1X2,Lost,Football,World Cup qualification,"2-1,0-1",elment,7,1,2025-12-28T15:17:39.753638
298,"Finnország-Litvánia, Libéria-Namíbia",2025.10.09,4.9,3000.0,1X2,Lost,Football,World Cup qualification,"2-1,3-1",elment,7,1,2025-12-28T15:17:39.753645
293,"Grazer-Wolfsberg, Austriawien-Linz",2025.10.04,3.51,10000.0,1X2,Lost,Football,Ausztria1,"1-3,1-2",Geci lilák..,8,1,2025-12-28T15:17:39.753652
294,"Sevilla-Barcelona, Krím-FTC, Kalifa-AEK",2025.10.04,2.7,10000.0,1X2,Lost,Football,Mixed leagues,"4-1,22-35,2-3",Szarbarca,8,1,2025-12-28T15:17:39.753659
295,"Honved-Tiszacsécske, Az alkmar -Teslar, Celtavigo-AtleticoMadrid",2025.10.04,3.47,10000.0,1X2,Lost,Football,Mixed leagues,"1-1,4-1,1-1",elment..,8,1,2025-12-28T15:17:39.753666
296,"Sociead-Rayo, Celtavigo-Atl.Madrid",2025.10.04,4.79,3600.0,1X2,Lost,Football,La Liga,"0-1,1-1",elment,6,1,2025-12-28T15:17:39.753674
292,"Verona-Sassuolo, Bormouth-Fullham",2025.10.03,6.72,5000.0,1X2,Won,Football,Mixed leagues,"0-1,3-1",bejött,9,1,2025-12-28T15:17:39.753681
291,"ZTE-Kazincbarcika, St.Pauli-Leverkusen",2025.09.27,4.29,5000.0,1X2,Lost,Football,Mixed leagues,"5-0,2-1",elment..,8,1,2025-12-28T15:17:39.753688
289,"Venezia-Cesena,Brest-Nice",2025.09.20,7.54,3000.0,1X2,Lost,Football,Mixed leagues,"2-2,4-1",A Nice-t nagyon benéztem.,7,1,2025-12-28T15:17:39.753695
290,"Reggina-Catanzaro, Brest-Nice",2025.09.20,7.3,3000.0,1X2,Lost,Football,Mixed leagues,"2-1,4-1",A Nice-t nagyon benéztem.,7,1,2025-12-28T15:17:39.753701
288,"Real Madrid_OM, Benfica-Quaragab, Atl.Bilbao-Arsenal",2025.09.16,3.27,1500.0,1X2,Lost,Football,BL,"2-1,2-3,0-2",elment..,8,1,2025-12-28T15:17:39.753733
287,"Espanyol-Mallorca, AIK-Borohumma",2025.09.15,5.76,5000.0,1X2,Lost,Football,Mixed leagues,"2-1,2-1",elment..,7,1,2025-12-28T15:17:39.753740
286,"Burnly-Liverpool, Atalanta-Lecce, Barcelona-Valencia",2025.09.14,2.64,5000.0,1X2,Won,Football,Mixed leagues,"0-1,3-1,6-0","bejött, de nem írták jóvá:))",8,1,2025-12-28T15:17:39.753747
285,"Örményország-Írország, Azerbajdzsán-Ukrajna",2025.09.09,3.0,5000.0,1X2,Lost,Football,World Cup qualification,2-1-1-1,elment..,8,1,2025-12-28T15:17:39.753755
284,"AEK-Tripolisz, Rangers-Celtic",2025.08.31,2.46,5000.0,1X2,Lost,Football,Mixed leagues,"1-0,0-0",elment..,7,1,2025-12-28T15:17:39.753762
283,"Salzburg-Linz, Bologna-Como",2025.08.30,4.22,4000.0,1X2,Lost,Football,Mixed leagues,"1-1,1-0",elment..,7,1,2025-12-28T15:17:39.753769
274,Hamburg-St.pauli,2025.08.29,3.45,4000.0,1X2,Lost,Football,Bundesliga,0-2,elment..,7,1,2025-12-28T15:17:39.753775
275,"Lemgo-Magdeburg,Valencia-Getafe",2025.08.29,3.93,4000.0,1X2,Lost,Mixed sports,Mixed leagues,"29-33,3-0",elment..,7,1,2025-12-28T15:17:39.753783
276,Echle-Levante,2025.08.29,3.25,4000.0,1X2,Lost,Football,La Liga,2-0,elment..,7,1,2025-12-28T15:17:39.753789
277,"Vanspor-Bandiaspor,GDyna-Wisla",2025.08.29,8.28,3720.0,1X2,Lost,Football,Mixed leagues,"1-2,1-0",elment..,7,1,2025-12-28T15:17:39.753796
278,"Sayizer-Enzurum, Lens-Brest",2025.08.29,6.01,5000.0,1X2,Lost,Football,Mixed leagues,"0-2,3-1",elment..,7,1,2025-12-28T15:17:39.753803
279,"Reggina-Empoli, Cremonese-Sassuolo",2025.08.29,4.54,4000.0,1X2,Lost,Football,Mixed leagues,"3-1,3-2",elment..,7,1,2025-12-28T15:17:39.753809
280,"Viktoriaköln-Regensburg,Paks-Kazincbarcika",2025.08.29,4.89,4000.0,1X2,Lost,Football,Mixed leagues,"1-0,3-0",elment..,7,1,2025-12-28T15:17:39.753816
281,Milan-Lecce,2025.08.29,4.05,3000.0,1X2,Lost,Football,Seria A,0-2,elment..,7,1,2025-12-28T15:17:39.753822
282,Paks-Kazincbarcika,2025.08.29,3.9,6000.0,1X2,Lost,Football,NB 1,3-0,elment..,7,1,2025-12-28T15:17:39.753829
271,"Rapid-Győr, Ostrava-Celje",2025.08.28,4.46,4000.0,1X2,Lost,Football,KL,"2-0,0-2",elment..,8,1,2025-12-28T15:17:39.753836
272,"Athen-Anderlecht,Uhtrecht-Zsitomir",2025.08.28,3.42,4000.0,1X2,Lost,Football,KL,"2-0,0-0",elment..,8,1,2025-12-28T15:17:39.753842
273,"Youngboys-slovan,Azalkmar-Levszkiszofia",2025.08.28,2.59,8000.0,1X2,Won,Football,EL,"3-2,4-1",bejött,8,1,2025-12-28T15:17:39.753849
269,"Riga-Spartaprha,Celtavigo-Betis",2025.08.27,7.2,3184.0,1X2,Lost,Football,Mixed leagues,"1-0,1-1",elment..,7,1,2025-12-28T15:17:39.753856
270,"Riga-Spartaprha,Köbenhavn-Basel",2025.08.27,8.2,4000.0,1X2,Lost,Football,Mixed leagues,"1-0,2-0",elment..,7,1,2025-12-28T15:17:39.753863
265,Madagaszkár-Szudán,2025.08.26,2.8,8800.0,1X2,Won,Football,World Cup qualification,1-1,bejött,7,1,2025-12-28T15:17:39.753869
